,time,cost,num_lambdas,aggregate_duration,min_duration,max_duration,avg_duration
0,4.223950148,8.13E-10,32,11.60901189,0.063545704,1.562327862,0.362781622
1,4.27721262,7.84E-10,32,11.19912672,0.043900728,1.81406951,0.34997271
2,3.189574242,7.65E-10,32,10.93483353,0.053480387,1.600363493,0.341713548
3,2.747087955,7.41E-10,32,10.5855062,0.058932781,1.358935356,0.330797069
4,5.64159894,4.94E-10,16,7.055537224,0.118226528,1.398659468,0.440971076
5,2.539570808,4.32E-10,16,6.167366982,0.104878187,1.249914646,0.385460436
6,2.54957366,4.30E-10,16,6.14543891,0.104548454,1.453569889,0.384089932
7,2.59839344,4.22E-10,16,6.032824278,0.104130983,1.479611397,0.377051517
8,2.52056694,4.18E-10,16,5.967465639,0.122460604,1.317013264,0.372966602
9,2.5885818,4.28E-10,16,6.110427618,0.121129274,1.470816135,0.381901726
10,2.520567656,4.24E-10,16,6.058459759,0.088068962,1.444776058,0.378653735
11,2.481557846,4.21E-10,16,6.010737419,0.082078457,1.34773612,0.375671089
12,2.618588924,4.23E-10,16,6.047118902,0.088865519,1.478449345,0.377944931
13,2.501562595,4.28E-10,16,6.108463526,0.085410118,1.413640022,0.38177897
14,2.519893408,4.26E-10,16,6.083958149,0.084710598,1.32839632,0.380247384
15,2.638341904,4.13E-10,16,5.902103662,0.082392454,1.36680913,0.368881479
16,2.3345263,4.18E-10,16,5.969887495,0.085495949,1.293895245,0.373117968
17,2.629590988,4.27E-10,16,6.102850676,0.0868361,1.45067358,0.381428167
18,2.55978179,4.21E-10,16,6.020869732,0.083969116,1.378688097,0.376304358
19,2.651596546,4.02E-10,16,5.740554094,0.084417582,1.350047588,0.358784631
,2.916605926,4.96484E-10,19.2,7.09262712,0.087373924,1.427919626,0.374025948
