,aggregate_duration,avg_duration,cost,max_duration,min_duration,num_lambdas,problem_size,time,trial
0,0.8798248767852783,0.02587720225839054,6.158774137496949e-11,0.08689999580383301,0.011492490768432617,34,8,0.3728516101837158,0
1,0.9637153148651123,0.02834456808426801,6.746007204055786e-11,0.09500241279602051,0.010953187942504883,34,8,0.45067477226257324,1
2,0.8851461410522461,0.026033710030948416,6.196022987365722e-11,0.09054279327392578,0.012296438217163086,34,8,0.44905853271484375,2
3,0.8391118049621582,0.024679758969475243,5.873782634735107e-11,0.06647491455078125,0.012147665023803711,34,8,0.3944244384765625,3
4,0.9242360591888428,0.0271834135055542,6.4696524143219e-11,0.10493969917297363,0.011932611465454102,34,8,0.500220775604248,4
5,0.9078967571258545,0.02670284579781925,6.355277299880982e-11,0.07827305793762207,0.011842489242553711,34,8,0.40079736709594727,5
6,0.8742687702178955,0.025713787359349868,6.119881391525269e-11,0.08208513259887695,0.011235237121582031,34,8,0.45015931129455566,6
7,0.8986353874206543,0.026430452571195716,6.29044771194458e-11,0.09055471420288086,0.011796712875366211,34,8,0.3996732234954834,7
8,0.8854906558990479,0.026043842820560232,6.198434591293335e-11,0.06337952613830566,0.011535167694091797,34,8,0.3954167366027832,8
9,0.9545235633850098,0.028074222452500287,6.68166494369507e-11,0.13488030433654785,0.011556625366210938,34,8,0.4552764892578125,9
10,0.8799371719360352,0.02588050505694221,6.159560203552246e-11,0.08666300773620605,0.012339115142822266,34,8,0.3948650360107422,10
11,0.876673698425293,0.025784520541920382,6.136715888977052e-11,0.08200216293334961,0.011051177978515625,34,8,0.45044374465942383,11
12,0.8861773014068604,0.026064038276672363,6.203241109848023e-11,0.09089159965515137,0.011061906814575195,34,8,0.4010810852050781,12
13,0.8856165409088135,0.026047545320847455,6.199315786361695e-11,0.10710430145263672,0.010385274887084961,34,8,0.45131540298461914,13
14,0.8878216743469238,0.02611240218667423,6.214751720428467e-11,0.0770423412322998,0.01119375228881836,34,8,0.44998955726623535,14
15,0.9283876419067383,0.027305518879609948,6.498713493347168e-11,0.0986471176147461,0.010915756225585938,34,8,0.4442563056945801,15
16,0.9016525745391846,0.026519193368799546,6.311568021774293e-11,0.0848078727722168,0.012788534164428711,34,8,0.45128297805786133,16
17,0.8651609420776367,0.025445910061106962,6.056126594543457e-11,0.07179665565490723,0.013348579406738281,34,8,0.40003395080566406,17
18,0.9138815402984619,0.026878868832307702,6.397170782089234e-11,0.09332013130187988,0.011541128158569336,34,8,0.5012667179107666,18
19,0.8912136554718018,0.026212166337405935,6.238495588302613e-11,0.0726315975189209,0.011011362075805664,34,8,0.35004377365112305,19
20,6.370222806930542,0.027340012046912197,4.45915596485138e-10,0.13163328170776367,0.010889291763305664,233,12,1.5477931499481201,0
21,6.412473440170288,0.027521345236782353,4.488731408119202e-10,0.1759939193725586,0.010919332504272461,233,12,1.4536800384521484,1
22,6.4068498611450195,0.027497209704485062,4.484794902801514e-10,0.13273048400878906,0.011156797409057617,233,12,1.5574991703033447,2
23,6.57616662979126,0.028223891114983947,4.603316640853882e-10,0.18976306915283203,0.010987997055053711,233,12,1.601370096206665,3
24,6.447538614273071,0.02767183954623636,4.51327702999115e-10,0.1250600814819336,0.011600255966186523,233,12,1.4463896751403809,4
25,6.29766845703125,0.027028619987258584,4.4083679199218755e-10,0.1300337314605713,0.010966062545776367,233,12,1.3978486061096191,5
26,6.363608360290527,0.02731162386390784,4.4545258522033696e-10,0.11823248863220215,0.01087045669555664,233,12,2.0032782554626465,6
27,6.40270471572876,0.027479419380810128,4.481893301010132e-10,0.11863589286804199,0.011941671371459961,233,12,1.3969180583953857,7
28,6.592977285385132,0.028296039851438335,4.615084099769593e-10,0.12909460067749023,0.0125274658203125,233,12,1.3966453075408936,8
29,6.467760801315308,0.027758630048563552,4.5274325609207156e-10,0.1228487491607666,0.011305809020996094,233,12,1.7014765739440918,9
30,6.551186800003052,0.028116681545077474,4.585830760002137e-10,0.10309600830078125,0.011935234069824219,233,12,1.603149175643921,10
31,6.464409351348877,0.027744246143128228,4.5250865459442143e-10,0.11279892921447754,0.010820150375366211,233,12,1.436147928237915,11
32,6.340519666671753,0.027212530758247866,4.4383637666702275e-10,0.10711288452148438,0.010845184326171875,233,12,1.4511864185333252,12
33,6.35979151725769,0.027295242563337728,4.451854062080384e-10,0.1016077995300293,0.01115727424621582,233,12,1.396636724472046,13
34,6.578238487243652,0.0282327832070543,4.604766941070557e-10,0.16323494911193848,0.011133193969726562,233,12,1.5515434741973877,14
35,6.564240455627441,0.028172705818143524,4.5949683189392096e-10,0.13001489639282227,0.01130819320678711,233,12,1.6974787712097168,15
36,6.237069368362427,0.026768538061641315,4.365948557853699e-10,0.10495471954345703,0.010679006576538086,233,12,1.5031154155731201,16
37,6.2019805908203125,0.026617942449872586,4.341386413574219e-10,0.1174626350402832,0.010986804962158203,233,12,1.5016250610351562,17
38,6.347549915313721,0.027242703499200518,4.443284940719605e-10,0.10975980758666992,0.011130571365356445,233,12,1.4458644390106201,18
39,6.422010183334351,0.027562275464954294,4.4954071283340456e-10,0.17372822761535645,0.011023998260498047,233,12,1.402768850326538,19
40,43.10794687271118,0.026993078818228666,3.0175562810897828e-09,0.15040230751037598,0.010592460632324219,1597,16,8.670955896377563,0
41,43.98014974594116,0.02753922964680098,3.0786104822158813e-09,0.16345477104187012,0.010721921920776367,1597,16,8.778819799423218,1
42,44.323864459991455,0.027754454890414185,3.1026705121994025e-09,0.18232941627502441,0.010641336441040039,1597,16,8.935160875320435,2
