,system,n,mean,std,var
0,Wukong-DC,8,1.0626893282499998,0.05858835545586429,0.0036132583105502134
1,Wukong-Std,8,0.42815659046173093,0.03909462533898184,0.0016088312951530112
2,Wukong-DC,12,1.6107269175156127,0.23301003580935067,0.05715123872407883
3,Wukong-Std,12,1.5246207594871521,0.14426054095209526,0.02190642492188542
4,Wukong-DC,16,2.2001509189,0.249593992170749,0.06557595887129676
5,Wukong-Std,16,8.704231727049999,0.18796793012610244,0.03719151869041193
