	n	p	CI	t-crit	t-stat
0	8	0.0	[0.602,0.667]	2.0342	39.2687
1	12	0.1805	[-0.042,0.214]	2.0377	1.3695
2	16	0.0	[-6.650,-6.359]	2.0295	-90.7346
